,a01,a02,a02agesquared,a03,a04,a05,a05new,a06,a07,a08,a08new,a09,a09new,a10,a10new,address,adr85_19,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,block,c01,c01new,c02,c02new,c03,c04,c04new,c05,c06,c07,c08,c09,c09new,c10,c10new,c11,c11new,c12,c12new,c13,c13new,c14,c14new,d01,d02,daramad,daramad01,daramad02,daramad03,daramad04,daramad05,daramad06,daramad09,daramad10,daramad11,daramad12,daramad16,f_segment,fa_strata_new,fasl,ghazineh,hhold_id,id_hhold_psu,id_tarh,nhazineh,sathezirbana,vgheirehkhorak,vkhorak,weight
1,1,51,2601,1,2,313,6,1,1,7212,7,2812,4,4,5,1000020061,1.02168E+15,1,0,5,21,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,4,0,0,0,0,0,14,1,0,24,82000,4,4,4,4,1,1,1,1,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,5,184,196699996,0,0,0,101859996,26820000,111000000,0,0,20020000,48000000,20020000,1,1112,4,418652000,4,20,18,406652000,10,352220000,66432000,730.0405556
3,1,57,3249,1,2,313,6,1,1,4190,4,2899,4,4,5,1000020069,1.02168E+15,1,0,4,15,3,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82000,3,3,3,3,0,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,184,237724000,0,0,0,135700000,20184000,144000000,0,0,21840000,60000000,21840000,1,1112,4,329088200,2,20,18,259088200,7,274712600,54375600,730.0405556
8,1,59,3481,1,2,522,7,1,1,3152,3,3190,4,4,5,1000021250,1.02168E+15,1,0,4,20,3,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72012,3,3,3,3,0,2,2,3,5,5,9,5,5,5,5,9,9,5,5,4,5,9,9,5,184,342388649,0,0,0,53795140,12013509,56232652,84000000,0,162580000,30000000,12580000,1,1112,1,119889792,2,21,19,119889792,10,83379792,36510000,730.0405556
9,1,26,676,1,2,214,6,1,1,3435,3,6512,10,3,3,1000021251,1.02168E+15,3,0,3,10,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72012,2,2,2,2,0,1,1,1,3,5,7,4,3,5,5,7,6,3,3,4,4,7,7,5,184,142701138,81212836,19198302,87405664,0,0,0,0,0,42290000,0,6290000,1,1112,1,119738698,1,21,19,89738698,5,105020698,14718000,730.0405556
10,1,43,1849,1,2,512,8,1,1,3152,3,2812,4,4,5,1000022108,1.02168E+15,1,0,3,20,3,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82020,5,5,4,4,2,1,1,1,9,9,6,9,9,9,9,6,6,8,8,8,8,7,7,1,184,133775008,0,0,0,83500008,0,90000000,0,0,20275000,30000000,20275000,1,1121,2,246329000,5,22,20,246329000,10,230339000,15990000,563.6274844
13,1,46,2116,1,2,106,5,2,1,8229,11,2411,19,4,7,1000022117,1.02168E+15,1,0,3,14,3,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72021,4,4,3,3,1,0,0,1,9,9,3,8,8,8,8,3,2,8,8,8,8,3,3,4,184,83175000,0,0,0,40606000,8349000,42300000,0,0,16220000,18000000,16220000,1,1121,2,213804000,2,22,20,213804000,7,181428000,32376000,563.6274844
16,1,49,2401,1,2,106,5,1,1,8322,8,6023,9,2,2,1000023057,1.02168E+15,1,0,3,18,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72030,4,4,3,3,1,2,2,2,8,8,4,8,8,8,8,3,3,8,7,7,7,4,4,2,184,90680000,0,0,0,12000000,0,12000000,33000000,0,21680000,24000000,21680000,1,1112,3,191920000,4,23,21,191920000,8,152560000,39360000,730.0405556
17,1,64,4096,1,2,214,6,1,1,5220,5,5222,7,2,2,1000019171,1.02168E+15,1,0,3,20,3,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,81091,3,3,3,3,1,1,1,1,8,8,9,8,8,8,7,9,9,7,7,7,7,9,9,5,184,506895000,0,0,0,0,0,0,456000000,0,14895000,36000000,14895000,1,1121,3,181923000,3,19,17,181923000,10,141519000,40404000,563.6274844
18,1,47,2209,1,2,313,6,1,1,4190,4,7511,12,3,3,1000019173,1.02168E+15,1,0,3,22,3,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,1,24,81091,4,4,4,4,2,1,1,1,7,7,8,7,6,7,6,8,8,6,6,6,6,8,8,5,184,189680004,87740004,22080000,99180000,0,0,0,0,0,19860000,60000000,19860000,1,1121,3,146966500,2,19,17,146966500,10,125342500,21624000,563.6274844
21,1,66,4356,2,0,0,0,1,1,7123,7,4521,6,1,1,1000023060,1.02168E+15,1,0,3,18,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82030,4,4,2,2,0,3,3,3,6,6,9,6,6,6,6,9,9,5,5,5,5,9,9,3,184,273520000,52280000,12420000,54800000,0,0,0,153600000,0,36380000,18840000,21680000,1,1112,3,134939000,3,23,21,134939000,8,96491000,38448000,730.0405556
22,1,50,2500,1,1,106,5,1,1,7133,7,4521,6,1,1,1000023064,1.02168E+15,1,0,3,20,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82030,5,5,5,5,4,1,1,1,7,7,6,7,6,7,6,6,5,6,6,6,6,6,6,3,184,124000000,0,0,0,0,0,0,60000000,0,40000000,24000000,27100000,1,1112,3,148442500,2,23,21,148442500,10,118550500,29892000,730.0405556
23,1,35,1225,1,2,106,5,1,1,7218,7,5020,7,2,2,1000023068,1.02168E+15,3,0,3,3,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,4,0,0,0,0,0,14,1,0,24,82030,4,4,3,3,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,3,184,57760000,0,0,0,0,0,0,36000000,0,21760000,0,14560000,1,1112,3,70622000,1,23,21,70622000,3,47810000,22812000,730.0405556
24,1,33,1089,1,2,106,5,1,1,9152,9,4100,5,4,5,1000024098,1.02168E+15,3,0,3,12,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82040,4,4,3,3,1,1,1,1,8,8,6,8,7,8,7,6,6,7,7,7,7,7,7,5,184,133860000,0,0,0,67260000,19560000,72000000,0,0,47040000,0,21840000,1,1121,4,181658500,5,24,22,181658500,5,106706500,74952000,563.6274844
27,1,34,1156,1,2,214,6,1,1,7126,7,4521,6,4,5,1000024105,1.02168E+15,3,0,3,2,3,4,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,4,1,0,0,0,0,14,1,0,24,82040,3,3,2,2,0,1,1,1,4,5,2,4,3,4,4,2,1,3,3,4,4,2,2,5,184,67320000,0,0,0,45900000,0,45900000,3600000,0,17820000,0,16380000,1,1121,4,103106000,2,24,22,91056000,2,71099000,32007000,563.6274844
28,1,31,961,1,2,313,6,2,1,7132,11,4540,19,4,7,1000024108,1.02168E+15,3,0,2,1,3,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,4,0,0,0,0,0,14,1,0,24,82040,4,4,3,3,1,0,0,1,7,7,2,7,7,7,7,2,2,7,7,7,7,3,3,5,184,74040000,0,0,0,45000000,0,45000000,0,0,29040000,0,21840000,1,1121,4,163279000,1,24,22,163279000,2,123529000,39750000,563.6274844
29,1,27,729,1,2,313,6,1,1,9314,9,4521,6,4,5,1000025198,1.02168E+15,4,0,3,13,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82051,3,3,2,2,0,1,1,1,5,5,1,5,5,5,5,1,1,4,4,4,4,1,1,4,184,55980000,0,0,0,32640000,0,32640000,0,0,23340000,0,5340000,1,1112,1,112277000,5,25,23,112277000,6,87389000,24888000,365.0202778
30,1,38,1444,2,0,0,0,1,1,5220,5,5221,7,1,1,1000025200,1.02168E+15,1,0,3,5,3,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82051,4,4,2,2,1,1,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,2,2,4,184,63920000,0,0,0,0,0,0,54400000,0,7120000,2400000,7120000,1,1112,1,38242000,4,25,23,30742000,3,19336000,18906000,365.0202778
31,1,41,1681,1,2,106,5,1,1,9314,9,4521,6,4,5,1000025204,1.02168E+15,3,0,3,7,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,4,0,0,0,0,0,14,1,0,24,82051,4,4,4,4,2,1,1,1,3,3,0,3,3,3,3,0,0,2,2,2,2,0,0,4,184,27500000,0,0,0,7800000,0,7800000,0,0,19700000,0,8900000,1,1112,1,84370000,3,25,23,84370000,4,53038000,31332000,365.0202778
33,1,60,3600,1,2,901,3,1,1,5220,5,5259,7,2,2,1000025210,1.02168E+15,1,0,3,9,3,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72052,2,2,1,1,0,1,1,1,2,2,3,2,1,2,2,3,3,1,1,1,1,3,3,1,184,87360000,0,0,0,0,0,0,29200000,3840000,31040000,23280000,3560000,1,1112,1,68652600,1,25,23,63652600,4,56442600,12210000,365.0202778
34,1,57,3249,1,2,106,5,1,1,7433,7,1810,4,2,2,1000026052,1.02168E+15,1,0,3,20,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72060,4,4,4,4,1,1,1,1,9,9,6,9,9,9,9,6,6,9,9,9,9,7,7,3,184,134560000,0,0,0,0,0,0,84000000,0,12580000,37980000,12580000,2,1112,2,541757000,5,26,23,541757000,10,399881000,141876000,365.0202778
37,1,41,1681,1,2,522,7,1,1,7141,7,4540,6,4,5,1000026063,1.02168E+15,3,0,4,16,3,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82060,4,4,3,3,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,2,184,52180000,0,0,0,36000000,0,36000000,0,0,16180000,0,12580000,2,1112,2,42591000,2,26,23,20091000,7,31695000,10896000,365.0202778
38,1,57,3249,1,2,107,4,3,1,7141,11,4540,19,2,7,1000026066,1.02168E+15,3,0,3,4,3,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82060,3,3,3,3,0,0,0,1,3,3,2,4,3,3,3,2,2,3,3,3,3,3,3,2,184,73883000,0,0,0,0,0,0,8000000,0,65283000,600000,9435000,2,1112,2,88315360,1,26,23,88315360,3,53125360,35190000,365.0202778
40,1,25,625,1,2,313,6,1,1,5220,5,5522,8,4,5,1000027164,1.02168E+15,6,0,2,9,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82071,2,2,2,2,0,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,5,184,68730000,0,0,0,36000000,0,36000000,0,0,9930000,22800000,9930000,1,1112,3,78177000,4,27,24,78177000,4,62625000,15552000,730.0405556
42,1,32,1024,1,2,214,6,1,1,3115,3,4010,5,4,5,1000027169,1.02168E+15,3,0,2,9,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,4,0,0,0,0,0,14,1,0,24,82071,3,3,2,2,0,1,1,1,9,9,4,9,8,8,8,4,4,8,8,8,8,4,4,5,184,98989996,0,0,0,66139996,15180000,70000000,0,0,15330000,2340000,13530000,1,1112,3,224232000,2,27,24,224232000,4,187326000,36906000,730.0405556
43,1,47,2209,1,2,214,6,1,1,5161,5,2413,4,4,5,1000027174,1.02168E+15,1,0,2,11,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82071,3,3,3,3,1,1,1,1,9,9,7,8,8,8,8,7,7,8,8,8,8,8,8,5,184,154649996,0,0,0,104003996,27516000,114200000,0,0,13530000,9600000,13530000,1,1112,3,218881000,1,27,24,218881000,5,167281000,51600000,730.0405556
44,1,35,1225,1,2,322,7,1,1,5220,5,5050,7,4,5,1000028055,1.02168E+15,3,0,4,9,3,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,4,0,0,0,0,0,14,1,0,24,72080,4,4,3,3,1,1,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,184,76032000,0,0,0,38220000,12492000,42000000,0,0,25320000,0,21720000,1,1121,4,80972000,5,28,25,80972000,4,56912000,24060000,563.6274844
46,1,35,1225,1,2,313,6,1,1,5220,5,5222,7,2,2,1000028059,1.02168E+15,3,0,3,5,3,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,72080,3,3,2,2,0,1,1,1,5,5,9,5,5,5,5,9,9,4,4,4,4,9,9,3,184,260273000,0,0,0,0,0,0,203000000,38718000,18555000,0,14955000,1,1121,4,119032000,3,28,25,116332000,3,59980000,59052000,563.6274844
47,1,44,1936,2,0,0,0,1,1,5122,5,5521,8,4,5,1000028062,1.02168E+15,1,0,3,13,3,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,4,0,0,0,0,0,14,1,0,24,82080,4,4,2,2,1,1,1,1,5,5,2,5,5,5,4,2,1,4,4,4,4,2,2,2,184,66120000,0,0,0,18000000,0,18000000,0,0,36120000,12000000,21720000,1,1121,4,110215000,2,28,25,110215000,6,43819000,66396000,563.6274844
